カテゴリー,品名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,赤,緑,黃
その他,ご飯,115,374,6,0.7,89,0,7,0,0,0,4.7
主菜,タンドリーチキン,352,399,31.1,26.8,4.8,1.7,44,33,4.7,0.1,0.2
主菜,ササミチーズカツ,264,450,13.8,31.8,25.5,1.9,90,33,0.9,0.1,4.6
主菜,かつおカツ甘醤油だれ,264,352,10,20.9,30.3,2.2,32,70,0.5,0.3,3.6
主菜,鶏と野菜のアヒージョ炒め,264,207,11.5,13.6,11,2.2,56,150,0.8,0.5,2
主菜,ビーフシチュー,220,316,9.2,16.2,30.6,1.7,22,80,1.9,1.2,0.8
主菜,ポークミンチカツ,264,379,12.2,25.2,24.4,1.1,46,51,1.5,0.2,3.1
主菜,鯖生姜煮,176,183,11.7,10.8,9,1,36,0,1.8,0,0.5
副菜,蒸し鶏サラダ,110,50,5.2,0.6,6.6,0.2,16,60,0.2,0.4,0.1
副菜,ラタトゥイユコロッケ,110,235,2.9,17.3,16.4,0.6,11,12,0.1,0.1,2.8
副菜,春巻,66,177,2.5,12,13.8,0.4,9.5,6,0.1,0,2.1
副菜,フライドチキン,176,231,6.2,14.2,18.1,0.9,6,0,1,0,1.9
副菜,鶏きも煮,88,67,8.9,1.7,4.4,0.6,6,0,0.6,0,0.2
副菜,メキシカーノサラダ,88,109,2.8,6.1,11.2,0.9,9,31,0,0.4,1
副菜,オクラ巣ごもり玉子,88,91,6.7,5.5,3.6,0.6,56,33,1,0.1,0.1
副菜,さっぱり揚げ出し茄子,88,142,1.2,12.1,7.5,0.8,14,93,0,0.3,1.4
副菜,そぼろきんぴらごぼう,88,86,5.7,1.9,10.9,0.5,38,23,0.5,0.2,0.4
副菜,ほうれん草ごまナムル,88,49,2.1,3,4.2,0.5,52,52,0.1,0.1,0.3
副菜,ほうれん草,66,19,1.9,0.6,2.5,0,44,63,0,0.2,0
副菜,だし巻き,66,98,6.3,5.6,4.2,0.7,28,0,1.1,0,0.2
副菜,温泉玉子,44,80,5.9,5.5,0.6,0.5,26,0,1,0,0
副菜,納豆,44,65,5.1,3.1,4.6,0.4,28,0,0.7,0,0.1
副菜,豚汁,110,102,6,3.8,11.2,1.7,33,54,0.6,0.4,0.4
副菜,味噌汁,33,53,2.9,3.1,3.5,1.3,35,0,0.4,0,0.3
麺類,かき揚げうどん,297,456,8.3,9.3,84.5,4.7,31,30,0,0.2,5.6
麺類,かき揚げそば,297,425,11.6,10.1,71.9,3.6,34,30,0,0.2,5.2
麺類,きつねうどん,297,439,13.5,7,80.6,5.3,74,5,0.9,0,4.6
麺類,きつねそば,297,408,16.7,7.8,68,4.1,77,5,0.9,0,4.2
麺類,かけうどん,209,339,7.7,1,75,4.6,21,5,0,0,4.2
麺類,かけそば,209,308,10.9,1.8,62.4,3.4,24,5,0,0,3.8
麺類,四川ラーメン,473,606,22.7,14.5,97.1,8,144,120,0.8,0.2,6.7
丼・カレー,サーモンポキ丼,550,661,21.8,18.6,97.8,3.6,48,0,1.9,0.7,5.7
丼・カレー,チリマヨ唐揚げ丼,407,812,27.7,23.1,120.6,2.3,23,0,2.4,0,7.7
丼・カレー,唐揚げカレー,407,810,24.5,24.1,123,5.2,47,12,1.8,0.3,8.1
丼・カレー,カレーライス,308,596,11,11.5,110.4,4.3,38,12,0.2,0.3,7
デザート,日向夏レアチーズケーキ,220,166,2.4,10.7,14.8,0.1,20,0,0,0,2.1
デザート,イチゴヨーグルト,110,92,4.1,3,13.3,0,121,0,0.8,0,0.4
デザート,焼きプリンタルト,66,119,2,6.6,12.4,0.1,28,0,0,0,1.5
デザート,大学芋,88,156,0.6,3.1,31.9,0,13,0,0,0.8,1.2
デザート,牛乳,85,138,6.8,7.8,10,0.2,228,0,1.7,0,0
デザート,大学生協コーヒー,95,142,4.8,5.2,19,0.1,162,0,1.2,0,0.6